tx_id	hiND14_RFP_wt_rep1	hiND14_RFP_wt_rep2	hiND14_RFP_wt_rep3	hiND14_RFP_Nterm_rep1	hiND14_RFP_Nterm_rep2	hiND14_RFP_Nterm_rep3	hiND14_wt_rep1_RNA	hiND14_wt_rep3_RNA	hiND14_Nterm_rep2_RNA	hiND14_wt_rep2_RNA	hiND14_Nterm_rep3_RNA	hiND14_Nterm_rep1_RNA
ENST00000332397	3.0	5.0	2.0	1.0	3.0	1.0	2.0	6.0	9.0	9.0	6.0	7.0
ENST00000534064	708.0	909.0	715.0	618.0	699.0	830.0	710.0	787.0	556.0	733.0	587.0	578.0
ENST00000260364	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000308275	809.0	1101.0	848.0	739.0	876.0	990.0	1796.0	1803.0	1631.0	1559.0	1654.0	1514.0
ENST00000569795	424.0	598.0	467.0	440.0	539.0	582.0	3535.0	3797.0	2890.0	3012.0	3673.0	3255.0
ENST00000338591	117.0	152.0	150.0	119.0	150.0	175.0	233.0	206.0	171.0	173.0	231.0	184.0
ENST00000319562	3044.0	3932.0	3539.0	2962.0	3051.0	3591.0	7023.0	7284.0	5164.0	6120.0	6509.0	5618.0
ENST00000449283	4.0	6.0	3.0	6.0	1.0	3.0	2.0	6.0	9.0	4.0	8.0	2.0
ENST00000367837	1019.0	1308.0	1020.0	909.0	1014.0	1177.0	1429.0	1427.0	1085.0	1278.0	1270.0	1095.0
ENST00000319974	380.0	583.0	410.0	413.0	452.0	555.0	703.0	713.0	599.0	678.0	712.0	610.0
ENST00000675286	179.0	216.0	151.0	96.0	134.0	155.0	138.0	140.0	104.0	131.0	69.0	82.0
ENST00000330045	736.0	945.0	772.0	721.0	771.0	896.0	925.0	1047.0	738.0	867.0	877.0	796.0
ENST00000278314	78.0	79.0	73.0	62.0	60.0	77.0	112.0	82.0	71.0	68.0	79.0	76.0
ENST00000359440	328.0	387.0	272.0	294.0	233.0	319.0	763.0	642.0	500.0	624.0	667.0	624.0
ENST00000371360	3.0	1.0	1.0	4.0	1.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0
ENST00000399933	426.0	498.0	411.0	408.0	410.0	514.0	1392.0	1451.0	1225.0	1218.0	1341.0	1262.0
ENST00000398548	210.0	248.0	189.0	174.0	176.0	242.0	251.0	256.0	241.0	202.0	247.0	216.0
ENST00000469902	47.0	67.0	57.0	53.0	70.0	68.0	63.0	71.0	35.0	61.0	41.0	36.0
ENST00000320901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	2.0	0.0
ENST00000378875	234.0	290.0	254.0	223.0	242.0	290.0	261.0	263.0	144.0	236.0	225.0	219.0
ENST00000203001	523.0	644.0	521.0	457.0	464.0	584.0	669.0	654.0	514.0	560.0	515.0	489.0
ENST00000521604	1782.0	2409.0	1818.0	1806.0	1716.0	1919.0	2792.0	2733.0	2211.0	2371.0	2231.0	2067.0
ENST00000379095	1062.0	1341.0	1261.0	1320.0	1282.0	1428.0	6267.0	6375.0	5011.0	5581.0	6099.0	5476.0
ENST00000644580	7.0	8.0	4.0	9.0	9.0	4.0	13.0	23.0	24.0	18.0	21.0	22.0
ENST00000451608	0.0	0.0	0.0	0.0	0.0	0.0	31.0	19.0	22.0	25.0	33.0	54.0
ENST00000306467	829.0	953.0	803.0	748.0	896.0	928.0	1065.0	1086.0	839.0	903.0	957.0	944.0
ENST00000254101	471.0	622.0	482.0	440.0	465.0	446.0	1772.0	1969.0	1473.0	1622.0	1563.0	1501.0
ENST00000400358	115.0	156.0	158.0	161.0	161.0	228.0	308.0	318.0	238.0	260.0	312.0	296.0
ENST00000371431	6.0	6.0	5.0	0.0	1.0	4.0	0.0	2.0	4.0	5.0	7.0	4.0
ENST00000368654	65.0	105.0	75.0	75.0	93.0	85.0	98.0	106.0	83.0	112.0	63.0	55.0
ENST00000641817	3.0	4.0	4.0	1.0	4.0	5.0	0.0	0.0	0.0	0.0	0.0	2.0
ENST00000474759	555.0	741.0	542.0	408.0	398.0	484.0	782.0	743.0	441.0	674.0	512.0	508.0
ENST00000641181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
