"gene","gene_name","ensembl_gene","transcript_id","ave_te_Nterm","ave_te_wt","std_te_Nterm","std_te_wt","diff_te","downregulated","p_value"
"ARCN1_ENSG00000095139_ENST00000264028","ARCN1","ENSG00000095139","ENST00000264028",1.36209161786828,1.3815654917537,0.0129617437145102,0.0360635314022365,0.985904487335812,1,0.45490746074671
"ENY2_ENSG00000120533_ENST00000521688","ENY2","ENSG00000120533","ENST00000521688",1.33163682792544,1.4278386319754,0.181130121348233,0.0162060749723233,0.932624176223003,1,0.454940352518355
"FRAS1_ENSG00000138759_ENST00000512123","FRAS1","ENSG00000138759","ENST00000512123",1.46271068489711,1.63717183985996,0.111444405767512,0.323833581951108,0.893437481200649,1,0.455057315704594
"ULK1_ENSG00000177169_ENST00000321867","ULK1","ENSG00000177169","ENST00000321867",0.745170782198107,0.689634937693022,0.0636582488736838,0.0954198197978507,1.08052933729092,0,0.45532939737235
"CCDC167_ENSG00000198937_ENST00000373408","CCDC167","ENSG00000198937","ENST00000373408",1.81230117479261,1.72369661019298,0.164711670592388,0.0560052738437411,1.05140380509869,0,0.455448796867333
"YWHAE_ENSG00000108953_ENST00000264335","YWHAE","ENSG00000108953","ENST00000264335",0.814573811882586,0.774237051963544,0.0647218592085871,0.0541166556298907,1.05209872069122,0,0.455510463208075
"NAXE_ENSG00000163382_ENST00000368235","NAXE","ENSG00000163382","ENST00000368235",1.8386334947968,1.71457407160159,0.159365158279798,0.20402729864636,1.07235582600367,0,0.455756360509142
"SLC25A39_ENSG00000013306_ENST00000377095","SLC25A39","ENSG00000013306","ENST00000377095",0.562814787398219,0.598046805652825,0.043190653879175,0.0592025909724823,0.941088192560201,1,0.455893050942227
"CACNG2_ENSG00000166862_ENST00000300105","CACNG2","ENSG00000166862","ENST00000300105",0.475596213029195,0.44212684827185,0.0512895685098505,0.0480310300231431,1.07570081954572,0,0.455918884109772
"CTTN_ENSG00000085733_ENST00000301843","CTTN","ENSG00000085733","ENST00000301843",1.18541403865942,1.15047289676708,0.0641568213495231,0.0275876554171165,1.0303711126012,0,0.45594249823623
"NYNRIN_ENSG00000205978_ENST00000382554","NYNRIN","ENSG00000205978","ENST00000382554",0.886106309605612,0.911750144961895,0.0426593242227511,0.0322261801864722,0.971874053985091,1,0.456057643874152
"ZNF112_ENSG00000062370_ENST00000354340","ZNF112","ENSG00000062370","ENST00000354340",0.928526775303668,1.02828936465914,0.111204905726479,0.173273531497391,0.902981988548971,1,0.456125723065598
"LRRC14_ENSG00000160959_ENST00000292524","LRRC14","ENSG00000160959","ENST00000292524",0.576532835857345,0.537532627955688,0.00290014490024539,0.0737052615359085,1.07255412206321,0,0.456197519001702
"TYMS_ENSG00000176890_ENST00000323274","TYMS","ENSG00000176890","ENST00000323274",1.74258491574794,1.61942615409896,0.232426708860868,0.0334726729499719,1.07605086612764,0,0.456248522016546
"RGS5_ENSG00000143248_ENST00000313961","RGS5","ENSG00000143248","ENST00000313961",1.03164931718409,1.11546078036314,0.153490760867658,0.0690403729197095,0.924863818921755,1,0.456423979525803
"ABCC10_ENSG00000124574_ENST00000372530","ABCC10","ENSG00000124574","ENST00000372530",0.873168942357945,0.805836178420204,0.126690599875869,0.029473911306022,1.0835563924044,0,0.456508438059209
"UBXN6_ENSG00000167671_ENST00000301281","UBXN6","ENSG00000167671","ENST00000301281",0.847384572543513,0.797239955803232,0.0379350174029724,0.0925336476173455,1.06289777171261,0,0.456526394444649
"TBC1D10B_ENSG00000169221_ENST00000409939","TBC1D10B","ENSG00000169221","ENST00000409939",0.657679582983829,0.621440031600974,0.0587246272605929,0.048152297987328,1.05831544403326,0,0.456617563752929
"SGMS2_ENSG00000164023_ENST00000690982","SGMS2","ENSG00000164023","ENST00000690982",0.902236748050279,0.992092124079154,0.143734200166665,0.122022583166243,0.909428394956489,1,0.456642567483709
"IFT46_ENSG00000118096_ENST00000264021","IFT46","ENSG00000118096","ENST00000264021",1.22198846854762,1.32727086065323,0.193378192733887,0.0851244401787307,0.92067753822773,1,0.456847081677834
"SYNJ2BP_ENSG00000213463_ENST00000256366","SYNJ2BP","ENSG00000213463","ENST00000256366",0.121298110361578,0.139225652310518,0.0260769786519468,0.0272750901660262,0.871233916656716,1,0.456891393710715
"MIPEP_ENSG00000027001_ENST00000382172","MIPEP","ENSG00000027001","ENST00000382172",2.20360708347466,2.43073801491005,0.301966468538304,0.368404662755807,0.906558859884458,1,0.456955036952463
"NOTCH3_ENSG00000074181_ENST00000263388","NOTCH3","ENSG00000074181","ENST00000263388",1.46688897475686,1.42544591341134,0.0606461350915384,0.0627404104580782,1.02907375225928,0,0.456987173678323
"DNMT3B_ENSG00000088305_ENST00000328111","DNMT3B","ENSG00000088305","ENST00000328111",1.04835010839946,1.12457899930268,0.117219294511166,0.109820748192133,0.932215619400251,1,0.45744223687886
"TIMM21_ENSG00000075336_ENST00000169551","TIMM21","ENSG00000075336","ENST00000169551",1.22227131595944,1.27210380352686,0.0249515839455636,0.0937984022724941,0.960826712860019,1,0.457534260964816
"CASKIN2_ENSG00000177303_ENST00000321617","CASKIN2","ENSG00000177303","ENST00000321617",1.31600846529796,1.24336936988758,0.0300121589874579,0.13714183442246,1.05842117167238,0,0.457534771635256
"C14orf132_ENSG00000227051_ENST00000555004","C14orf132","ENSG00000227051","ENST00000555004",0.153027500854995,0.164435398989202,0.0179337572963579,0.0159844747464843,0.930623830365408,1,0.457566933509807
"MAFB_ENSG00000204103_ENST00000373313","MAFB","ENSG00000204103","ENST00000373313",1.79320281164394,1.65549983552879,0.0348123607691041,0.26083681131523,1.08317909380593,0,0.457570761784391
"MMGT1_ENSG00000169446_ENST00000305963","MMGT1","ENSG00000169446","ENST00000305963",0.879545133173396,0.924461698997146,0.0690343422866775,0.0649106880195695,0.95141327556082,1,0.457914728556436
"GAS6_ENSG00000183087_ENST00000327773","GAS6","ENSG00000183087","ENST00000327773",0.553872240771613,0.542371301708444,0.0162430422826442,0.0180042153848373,1.02120491815651,0,0.457956016135665
"SPSB3_ENSG00000162032_ENST00000566339","SPSB3","ENSG00000162032","ENST00000566339",1.73147556370744,1.62876291716362,0.148056188256924,0.158309740614736,1.06306175408432,0,0.458072869079902
"FBXL2_ENSG00000153558_ENST00000484457","FBXL2","ENSG00000153558","ENST00000484457",1.10429051319437,1.1628370056391,0.0852672489364383,0.0896102189731755,0.949652021598201,1,0.458473308214093
"PPP2R5E_ENSG00000154001_ENST00000337537","PPP2R5E","ENSG00000154001","ENST00000337537",1.11363365071112,1.19559127624496,0.0155799989386372,0.155754333194047,0.931450130858059,1,0.458576924282919
"NME3_ENSG00000103024_ENST00000219302","NME3","ENSG00000103024","ENST00000219302",2.42768310769729,2.3009305016106,0.161835826901873,0.211229018957685,1.05508754219128,0,0.458633215234993
